DateTime,EUR/HUF,USD/HUF,GBP/HUF
2024-02-23,386.989013671875,357.50201416015625,452.67999267578125
2024-02-26,388.5329895019531,359.114013671875,455.04998779296875
2024-02-27,389.0669860839844,358.69000244140625,454.8299865722656
2024-02-28,390.5889892578125,360.4200134277344,456.8399963378906
2024-02-29,393.1889953613281,362.8399963378906,459.2799987792969
2024-03-01,392.364990234375,363.1659851074219,458.489990234375
2024-03-04,393.6549987792969,363.0899963378906,459.6499938964844
2024-03-05,394.66900634765625,363.95098876953125,462.1499938964844
2024-03-06,393.5090026855469,362.5169982910156,460.5199890136719
2024-03-07,393.635986328125,361.260009765625,459.95001220703125
2024-03-08,395.02301025390625,360.8349914550781,462.239990234375
2024-03-11,393.40301513671875,359.5220031738281,462.1400146484375
2024-03-12,394.18701171875,360.6300048828125,462.2799987792969
2024-03-13,398.72198486328125,364.8999938964844,466.8900146484375
2024-03-14,395.77099609375,361.3810119628906,462.55999755859375
2024-03-15,395.0530090332031,362.93499755859375,462.6400146484375
2024-03-18,392.6619873046875,360.6969909667969,459.2300109863281
2024-03-19,394.635009765625,363.0,461.8800048828125
2024-03-20,394.3810119628906,363.0509948730469,461.7699890136719
2024-03-21,393.63800048828125,359.927001953125,460.6199951171875
2024-03-22,393.8139953613281,362.79998779296875,459.010009765625
2024-03-25,396.9590148925781,367.2929992675781,462.92999267578125
2024-03-26,396.6990051269531,366.1199951171875,462.54998779296875
2024-03-27,395.03900146484375,364.7030029296875,460.5299987792969
2024-03-28,394.4179992675781,365.0199890136719,460.2099914550781
2024-03-29,393.552001953125,365.05999755859375,459.32000732421875
2024-04-01,394.45001220703125,365.4949951171875,461.8500061035156
2024-04-02,394.60699462890625,367.531005859375,461.0899963378906
2024-04-03,394.6889953613281,366.3999938964844,460.95001220703125
2024-04-04,392.3840026855469,362.0199890136719,458.0299987792969
2024-04-05,392.0660095214844,361.7799987792969,457.32000732421875
2024-04-08,389.4960021972656,359.6449890136719,454.04998779296875
2024-04-09,389.6929931640625,358.739990234375,454.1099853515625
2024-04-10,390.14801025390625,359.302001953125,455.4800109863281
2024-04-11,391.09698486328125,364.1180114746094,456.4599914550781
2024-04-12,389.5580139160156,363.18701171875,455.94000244140625
2024-04-15,392.43701171875,368.5400085449219,459.2799987792969
2024-04-16,393.9960021972656,370.77099609375,461.5400085449219
2024-04-17,395.0669860839844,371.94000244140625,462.3699951171875
2024-04-18,392.8389892578125,368.17999267578125,458.5299987792969
2024-04-19,394.0979919433594,370.2749938964844,460.4700012207031
2024-04-22,393.9469909667969,369.9599914550781,457.4100036621094
2024-04-23,393.9159851074219,369.739990234375,456.6099853515625
2024-04-24,392.86700439453125,367.0799865722656,457.0799865722656
2024-04-25,393.6050109863281,367.9700012207031,458.3500061035156
2024-04-26,392.8370056152344,366.2200012207031,458.0299987792969
2024-04-29,392.1809997558594,366.406005859375,458.3900146484375
2024-04-30,391.16900634765625,365.0669860839844,458.4800109863281
2024-05-01,390.6419982910156,366.25,457.4200134277344
2024-05-02,390.125,364.04901123046875,456.3999938964844
2024-05-03,389.14599609375,362.68499755859375,454.7799987792969
2024-05-06,389.1510009765625,361.739990234375,453.6400146484375
2024-05-07,388.375,360.7099914550781,453.010009765625
2024-05-08,389.0069885253906,361.7439880371094,452.1400146484375
2024-05-09,388.4150085449219,361.3999938964844,451.5199890136719
2024-05-10,387.75,359.6440124511719,450.42999267578125
2024-05-13,387.7349853515625,360.0169982910156,450.80999755859375
2024-05-14,386.6159973144531,358.3500061035156,449.94000244140625
2024-05-15,385.6180114746094,356.5880126953125,448.75
2024-05-16,385.52301025390625,354.05999755859375,449.25
2024-05-17,386.70599365234375,355.8699951171875,450.8900146484375
2024-05-20,386.739013671875,355.7070007324219,451.95001220703125
2024-05-21,385.7439880371094,355.27398681640625,451.489990234375
2024-05-22,385.30499267578125,354.9389953613281,451.19000244140625
2024-05-23,386.8890075683594,357.3269958496094,454.6199951171875
2024-05-24,386.07501220703125,357.1199951171875,453.239990234375
2024-05-27,384.3890075683594,354.3599853515625,451.29998779296875
2024-05-28,384.3609924316406,353.88800048828125,451.9599914550781
2024-05-29,384.2070007324219,354.1000061035156,451.69000244140625
2024-05-30,387.5820007324219,358.8399963378906,455.6099853515625
2024-05-31,389.2030029296875,359.3349914550781,457.3900146484375
2024-06-03,389.4800109863281,358.88800048828125,457.3599853515625
2024-06-04,390.2070007324219,357.7619934082031,458.260009765625
